,Actual,RF,BP,MLP
18873,0.099999979138374,0.09944831334054471,0.10029465984839742,0.09925502316331641
11472,0.0,0.0,0.0,0.0
12810,0.090000003576279,0.10256897166371301,0.07347173499462462,0.08304048228055055
6293,0.0,0.0,0.0,0.00380847053896044
20299,0.090000003576279,0.09011866882443441,0.0887928763486186,0.09365741243227615
10607,0.0,0.0,0.0,0.03891158608115036
14699,0.0,0.0,0.0,0.0
9453,0.0,0.0,0.01159800094831015,0.0
1891,0.090000003576279,0.10328697197139297,0.10316762991813083,0.0907996980309535
4165,0.090000003576279,0.08888799600303177,0.08081086158226541,0.09894979042251556
6202,0.099999979138374,0.10179830748587815,0.10044890975617832,0.11268909574010738
8318,0.0,0.0,0.0,0.004845745292480996
12216,0.070000022649765,0.07044835262000562,0.06230269955070772,0.07173005160219853
3422,0.0,0.0,0.0038319149738989533,0.0
17756,0.071199998259544,0.06271298889070726,0.07215191997122622,0.025728446827755158
19291,0.0,0.0,0.0,0.0
10316,0.0,0.0,0.006198527536213361,0.024744947045817367
8114,0.0,0.0,0.0,0.013045264847697025
10353,0.0,0.0,0.0,0.0
12667,0.0,0.0,0.005127867176459022,0.0
10126,0.0,0.0,0.0,0.0
18421,0.0,0.0,0.0,0.006292855111779294
19273,0.0,0.0,0.0,0.0
12606,0.0,0.0004519999904732741,0.008828350737310642,0.018267368392336836
7439,0.0,0.0,0.0,0.01614269579989308
20661,0.010666666552424,0.011240000434219698,0.026074786863725163,0.026641954814881463
15022,0.0,0.0,0.006114554009956141,0.00850710868562693
8337,0.0,0.0,0.0,0.01960147690294395
19266,0.0,0.0,0.0,0.0
3277,0.049999989569187,0.05650565173476933,0.05730609741384579,0.0591889370453304
16987,0.0,0.0,0.0008867468801224132,0.014761069200324106
7168,0.0,0.0,0.002612906184644659,0.018022880899042304
5888,0.084633335471153,0.09448531530797434,0.08841736474030454,0.08002111536644246
20082,0.025599991902709,0.022085997228794594,0.03517585317409716,0.04002804093697859
23783,0.049999989569187,0.051352656558156004,0.04665505292593669,0.0577656301915081
9770,0.0,0.0,0.0,0.0
9901,0.049999989569187,0.05074765490368009,0.03705008859102504,0.0542166955887628
14687,0.0,0.0,0.0,0.02001562565580256
11925,0.064733326435089,0.06680767115205521,0.06266113718145366,0.07265798060601053
18191,0.0,0.0,0.007494854125657924,0.0
5221,0.0,0.0,0.007697670552095304,0.0
616,0.0,0.0,0.0026555358910274607,0.0
3690,0.0,0.0,0.0,0.0
6215,0.090000003576279,0.09746364969760193,0.0895085636914002,0.10811113091938779
1901,0.090000003576279,0.09570131748914715,0.09055399146629567,0.12408071762339462
8544,0.012533333152533,0.020006665755063168,0.028272756350128214,0.032771797944510295
16809,0.040000002831221,0.04031300254166162,0.03208821039711124,0.06833721450580871
408,0.070000022649765,0.08374499060213561,0.06153892516487153,0.08822185270673838
13676,0.090000003576279,0.09779565066099155,0.08729213890990956,0.07180877606159924
5042,0.083533324301243,0.0884090019762517,0.08650514031067075,0.059608478237292706
23925,0.0,0.0,0.016293808613255856,0.0009064779294382652
9693,0.080000005662441,0.08364499539509408,0.08663278671045754,0.05469038221641037
13963,0.080000005662441,0.09281065776944172,0.08592174089513921,0.06721372753460514
8350,0.0,0.0,0.0,0.027442639030707594
21201,0.058266665786505,0.06279465930536389,0.057896680812350276,0.0007760299031262519
1231,0.0,0.000111999996006488,0.0,0.0
531,0.0,0.0,0.0038166118676175587,0.0011646664447719224
2081,0.0,0.0,0.0,0.0
15817,0.0,0.0,0.0,0.007587392295992534
6134,0.0,0.0,0.006156120933530629,0.0
10838,0.080000005662441,0.08522299885749812,0.08759879531960718,0.10375554299289863
25398,0.0,0.0,0.0,0.020952165183795335
16316,0.080000005662441,0.0734966811537742,0.06176606764604681,0.07663167451773617
8158,0.012800000607967,0.011179333804175124,0.011663941177097403,0.039229680747928375
9822,0.0,0.0,0.002817078639310744,0.0042303849024922235
19977,0.040000002831221,0.04008800260722675,0.02659964161153089,0.04059383872061856
12932,0.0,0.0,0.0,0.0009174478763335769
6235,0.069433346390724,0.07192534819245339,0.06906532185012987,0.08044377109435391
2862,0.0,0.0,0.010324885175882204,0.0042740995591289965
17838,0.0,0.0,0.0,0.006273501611365473
8023,0.0,0.0,0.0006136338183609369,0.00388204516450269
4772,0.099999979138374,0.10646230079233723,0.11568113280569131,0.12023531957550077
13028,0.0,0.0,0.004716473937513899,0.0
22824,0.0,0.0,0.004466990753107025,0.024759612429540778
22821,0.0,0.0,0.006704112307192089,0.030872727276489653
23931,0.0,0.0,0.015459174877623882,0.017571268618913505
11518,0.0,0.0,0.011264883555806737,0.010996924980527234
7117,0.0,0.0004659999854629855,0.010598335463436193,0.019154428177606986
4229,0.059933304786682,0.06407532516866925,0.07007734300243079,0.08392317840136293
1687,0.0,0.0,0.0,0.0
6682,0.0,0.0,0.0027165301225975935,0.022660887028308208
21046,0.0,0.0,0.0,0.00847923863234662
21188,0.096266649663448,0.09599465258419507,0.08882994069477018,0.0916552780130257
175,0.089933335781097,0.09940263874828763,0.10374198588683098,0.0843537247934893
11449,0.010000000707805,0.009211667226627385,0.014797030280925327,0.036057769058770395
2617,0.0,0.0,0.00044604697063249654,0.0
14418,0.0,0.0,0.0,0.0
12022,0.02000000141561,0.02038500057724865,0.028712435138816328,0.04408264448708671
1441,0.0,0.0,0.004937026914152709,0.00844891160088318
2930,0.0,0.0,0.0020174308669898555,0.0
13040,0.0,0.0,0.0007461017876917997,0.0
17638,0.0,0.0,0.007876575507902717,0.0
23471,0.090000003576279,0.09163533039391053,0.09767583761500259,0.08773114970707446
21338,0.0,0.0,0.0,0.0
17206,0.010000000707805,0.01105300018563857,0.02343146835473947,0.0
2101,0.0,0.0,0.01688664755115782,0.0
23241,0.040000002831221,0.04076766762882503,0.04241466814133937,0.03646144469114304
4771,0.10199996083975,0.10564096868038193,0.11328617314301154,0.12632372701243838
9758,0.0,0.0,0.0,0.0
17827,0.0,0.0,0.0,0.012626670570811738
19631,0.0,0.0,0.003901558616097145,0.0
5035,0.054933328181505,0.06349499367177483,0.07302351256093381,0.039745995909037324
21148,0.021866666153073,0.025251326672732746,0.007079593356809799,0.0
5653,0.080000005662441,0.08409900121390815,0.07963426327030781,0.09365835333140055
24349,0.099999979138374,0.10065597698092513,0.1069806403076608,0.07781556655104044
