pred,true
[15.043355],[13.882]
[14.490894],[13.128934]
[13.895407],[12.364467]
[13.002439],[11.462801]
[11.866699],[10.5141325]
[10.88237],[9.508467]
[9.702333],[8.386933]
[8.425318],[7.2185006]
[7.3033752],[6.0108666]
[6.2736077],[4.8140664]
[5.156664],[3.6218336]
[3.9186594],[2.4732332]
[2.685885],[1.4791666]
[1.5188633],[0.7206]
[0.5036739],[0.27196664]
[0.08542386],[0.11706664]
[0.04534456],[0.01646666]
[0.09178171],[0.04243334]
[0.95893764],[0.2876333]
[1.7383422],[0.47906667]
[2.0839486],[1.5888333]
[2.5424948],[2.7010667]
[4.6752496],[3.8855667]
[6.232801],[5.0983005]
[7.751415],[6.3155336]
[8.934494],[7.4961333]
[10.017944],[8.6474]
[11.043056],[9.728868]
[12.045044],[10.7142]
[12.991941],[11.670533]
[13.899899],[12.532534]
[14.676152],[13.245467]
[15.366444],[13.926268]
[15.96733],[14.526866]
[16.411377],[15.09]
[16.685358],[15.663601]
[16.915071],[16.029533]
[17.038166],[16.399466]
[17.081766],[16.832132]
[17.16123],[17.068933]
[17.166628],[17.140068]
[17.175892],[17.227934]
[17.111555],[17.286665]
[17.072313],[17.202333]
[16.848734],[17.1676]
[16.761232],[16.885334]
[16.50753],[16.6549]
[16.292395],[16.402565]
[16.113333],[15.912434]
[15.857778],[15.460867]
[15.524795],[14.999801]
[15.151312],[14.373334]
[14.593777],[13.738467]
[14.02999],[12.9062]
[13.336714],[12.1181]
[12.408607],[11.207001]
[11.265742],[10.3132]
[10.365792],[9.310334]
[9.288494],[8.220166]
[8.107556],[7.0656333]
[7.070045],[5.9090667]
[6.1223707],[4.722033]
[4.9974213],[3.5292335]
[3.721063],[2.4151]
[2.5152805],[1.4508]
[1.3809769],[0.7220667]
[0.46282217],[0.28270003]
[0.08132181],[0.12546664]
[0.03803191],[0.02373333]
[0.08202156],[0.04166667]
[0.9357629],[0.24980001]
[1.7007573],[0.39116666]
[2.030679],[1.5002]
[2.354132],[2.5721667]
[4.3024497],[3.6980333]
[5.831269],[4.8664665]
[7.3467827],[6.0400004]
[8.463743],[7.1745667]
[9.50836],[8.2818]
[10.546421],[9.3928]
[11.576866],[10.401333]
[12.529032],[11.318399]
[13.426557],[12.1642]
[14.2294445],[13.001599]
[14.982506],[13.659733]
[15.650487],[14.239201]
[16.122349],[14.802466]
[16.44449],[15.279]
[16.689373],[15.754466]
[16.830736],[16.064867]
[16.892347],[16.360733]
[16.982435],[16.613667]
[16.982153],[16.8824]
[17.011103],[16.8556]
[16.967949],[16.738468]
[16.916687],[16.591]
[16.67445],[16.528934]
[16.638876],[16.42607]
[16.354856],[16.2826]
[16.137276],[15.903266]
[15.903986],[15.536401]
[15.613285],[15.180201]
[15.252106],[14.5802]
[14.782649],[13.949667]
[14.197123],[13.252199]
[13.598339],[12.644033]
[12.97345],[11.789967]
[12.006466],[10.969867]
[10.836337],[10.040933]
[9.9315],[8.958366]
[8.887234],[7.962067]
[7.824361],[6.8518667]
[6.819332],[5.696067]
[5.873338],[4.5414667]
[4.725428],[3.4296665]
[3.5037162],[2.3438668]
[2.3406434],[1.4293998]
[1.2624859],[0.7335333]
[0.44218144],[0.31746668]
[0.08874682],[0.1437333]
[0.04644963],[0.02346667]
[0.08570692],[-6.666667e-05]
[0.8905381],[0.037]
[1.5052726],[0.27906662]
[1.9769695],[0.4602]
[2.2077153],[1.4846667]
[2.3690813],[2.5121999]
[4.2270184],[3.6128001]
[5.7005825],[4.7716665]
[7.246639],[5.9410667]
[8.321827],[7.1256003]
[9.343759],[8.2522]
[10.331074],[9.3348]
[11.348905],[10.333266]
[12.296879],[11.326933]
[13.193377],[12.211133]
[14.0503025],[13.039933]
[14.822967],[13.728467]
[15.523134],[14.3428]
[16.020992],[14.816266]
[16.331026],[15.3076]
[16.593893],[15.653599]
[16.750507],[16.058334]
[16.8197],[16.355469]
[16.907412],[16.491001]
[16.896181],[16.562532]
[16.925821],[16.687332]
[16.89744],[16.711134]
[16.808638],[16.714466]
[16.56777],[16.682068]
[16.575558],[16.4772]
[16.263176],[16.1746]
[16.0803],[15.894434]
[15.827787],[15.5669985]
[15.560134],[14.953866]
[15.189484],[14.5642]
[14.75319],[13.9001665]
[14.174602],[13.240968]
[13.557758],[12.575367]
[12.931133],[11.8922]
[12.009387],[10.964434]
[10.819967],[10.032334]
[9.867303],[9.076234]
[8.851089],[8.0581]
[7.775568],[6.9251]
[6.761375],[5.7614]
[5.830066],[4.6162333]
[4.7067585],[3.4756]
[3.489525],[2.3709333]
[2.3269956],[1.4490665]
[1.2711644],[0.73870003]
[0.48622823],[0.3030667]
[0.11544883],[0.14033332]
[0.06051877],[0.02746667]
[0.0946106],[0.0684]
[0.8094902],[0.26673332]
[1.5188665],[0.48033336]
[1.8516853],[1.4843999]
[2.267621],[2.5672002]
[4.6068115],[3.7258332]
[5.8626223],[4.937667]
[7.4484615],[6.1702337]
[8.501261],[7.3830333]
[9.60389],[8.546767]
[10.610547],[9.6636]
[11.656548],[10.6852]
[12.617882],[11.652467]
[13.508671],[12.575934]
[14.348101],[13.435166]
[15.130341],[14.115633]
[15.822626],[14.7808]
[16.288105],[15.334065]
[16.590794],[15.853666]
[16.822857],[16.356068]
[16.973372],[16.751432]
[17.031052],[16.989866]
[17.11324],[17.211634]
[17.105858],[17.452934]
[17.137136],[17.533466]
[17.115076],[17.498335]
[17.032532],[17.368132]
[16.842703],[17.352932]
[16.842775],[17.201735]
[16.546106],[16.8977]
[16.41099],[16.5142]
[16.172243],[16.068167]
[15.954678],[15.592001]
[15.642981],[15.029267]
[15.2847185],[14.439366]
[14.807268],[13.771067]
[14.289354],[13.0293]
[13.65642],[12.2406]
[12.766804],[11.354434]
[11.613235],[10.413699]
[10.613773],[9.372333]
[9.514351],[8.3203]
[8.321519],[7.2014003]
[7.2463894],[6.0165334]
[6.263391],[4.8059998]
[5.1559157],[3.6297333]
[3.8820903],[2.5017002]
[2.6966784],[1.5192666]
[1.5627015],[0.7611334]
[0.6254351],[0.32186666]
[0.15540093],[0.15446666]
[0.08898845],[0.02976667]
[0.1158568],[0.06633333]
[0.91567826],[0.23246668]
[1.5552412],[0.35973334]
[1.9268194],[1.5103999]
