,Actual,RF,BP,MLP
18115,0.0,0.0,0.0,0.0
12283,0.020466666668653,0.02835766108910607,0.04620522917318623,0.026056957179984103
13536,0.0,0.0,0.017464057112578285,0.0
13889,0.0,0.0,0.0,0.02676314431645599
22637,0.090000003576279,0.08950900234282023,0.07843809017785855,0.08577702498478365
16276,0.080099985003471,0.0914289857447146,0.09541142321191468,0.10808877632579214
22519,0.0,0.0,0.0,0.014810463583289302
21809,0.029999986290932,0.027419323424498314,0.012027427805211238,0.04301818746149896
1572,0.089733332395554,0.0981746415793897,0.08096582411551084,0.11409648372201583
12956,0.0,0.0,0.0,0.011766536973861708
7850,0.0,0.0,0.005785962864429811,0.0
4219,0.080000005662441,0.08269366629421708,0.08158260038516571,0.09872749297974384
14013,0.060333307832479,0.06824601128697391,0.07114073034942556,0.0729534254784798
6224,0.090000003576279,0.09016499891877187,0.09585194081254558,0.08627645648683799
16583,0.099999979138374,0.09878298051655265,0.11013445022029708,0.09661034763159035
12798,0.080000005662441,0.08503300324082382,0.09173131954049299,0.0
820,0.0,0.0,0.0003001771321013702,0.00017606280647328165
16813,0.049999989569187,0.05034832224249834,0.04599596206129822,0.05637281729830476
6830,0.040000002831221,0.04068233434110912,0.048230800855617845,0.05395478626592384
744,0.088133335113525,0.09075699329376212,0.09385046671372738,0.07851723594221202
15499,0.0,5.2000002469868e-05,0.0,0.0
21648,0.0,0.0,0.0,0.0
19350,0.0,0.0,0.0023205005529229883,0.04504700199509068
8813,0.089933335781097,0.09556598573923114,0.09850180979736381,0.09749466339644539
3288,0.070000022649765,0.0822983259707687,0.07049666277261049,0.08755604800545361
7024,0.059999972581863,0.05990798510611049,0.0329600996381664,0.05151158505096773
9625,0.074099995195866,0.08168598249554618,0.0579232394766975,0.03609463224853657
4990,0.018933333456516,0.014527667071670336,0.03338529190478037,0.0
7671,0.080000005662441,0.079186004474759,0.07705826551918246,0.09444902127138852
2165,0.099999979138374,0.1018043092638245,0.0964021832019458,0.04425254747175675
