pred,true
0,0.0
0,0.0
0,0.0
0,0.046933323
0,0.3400667
0,0.5768
0,0.4302
[0.75386393],2.4288
[1.760819],4.0732665
[3.5316665],5.3264666
[4.530084],7.237133
[5.8220334],8.400467
[4.4934278],5.4557333
[4.639879],7.034933
[6.333015],9.370067
[9.293145],9.082799
[9.264207],13.054133
[12.39293],11.742934
[11.53914],14.460134
[13.651155],15.0178
[13.129298],15.5596
[14.275628],16.053867
[14.745565],16.343601
[14.976571],17.179333
[15.2626295],13.767866
[13.797206],16.370333
[14.152691],15.336599
[14.804617],16.5264
[15.294823],16.569067
[15.36519],17.514668
[15.769636],15.106667
[14.658941],13.8354
[13.82294],17.122065
[14.556837],16.5532
[14.514433],15.936268
[13.47053],15.5934
[12.6319475],15.0258
[13.16598],14.412532
[13.185544],13.838266
[12.644163],12.4546
[11.553111],12.193066
[10.87242],9.457001
[8.875514],10.531666
[8.707281],8.245733
[7.299618],8.450334
[7.534189],7.6563997
[6.774185],3.3861334
[4.9232616],2.9627998
[3.9578488],4.8289337
[4.926723],2.9049332
[4.160957],1.4817333
[2.7906058],0.6192667
[1.028835],0.20846665
[0.47609687],0.060999997
[0.20045328],0.0
[0.12686282],0.0
[0.12198973],0.0
[0.1112923],0.0
[0.09033716],0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.13199997
0,0.60480005
0,1.3448
[1.2419652],2.3338666
[2.072079],3.5054002
[4.042024],4.7506
[4.9965544],6.0140667
[6.4833417],7.2695336
[7.5848565],8.474
[9.035569],9.619801
[10.3282385],10.694266
[11.478903],11.684601
[12.362826],12.5942
[13.024633],13.3748665
[13.522271],14.093467
[14.063701],14.755
[14.540437],15.402533
[14.986276],15.9394
[15.299752],16.325533
[15.663021],16.737865
